param n:= 50;
param c: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50:=
1 0 85 195 441 364 239 375 483 578 393 315 434 494 534 528 644 643 593 498 689 762 598 713 772 783 723 771 728 901 767 893 850 911 953 1056 360 534 563 250 367 344 967 683 676 315 464 604 344 842 848 
2 85 0 110 356 279 154 290 398 493 308 230 349 409 449 443 559 558 508 413 604 677 513 628 687 698 638 686 643 816 682 808 765 826 868 971 275 449 478 165 282 259 882 598 591 230 379 519 259 757 763 
3 195 110 0 466 385 118 254 362 502 272 120 240 300 340 407 450 510 460 377 568 641 477 580 578 650 590 638 607 768 646 772 729 790 832 935 165 340 442 275 392 180 846 562 555 120 270 410 223 721 727 
4 441 356 466 0 200 467 331 384 414 621 586 662 722 762 549 872 871 821 726 590 664 737 902 1000 1011 951 948 867 1072 841 967 887 826 855 971 631 762 464 191 74 572 915 822 750 586 692 832 572 744 987 
5 364 279 385 200 0 267 131 184 214 421 402 462 522 562 349 672 671 621 526 390 464 537 702 800 811 751 748 667 872 641 767 687 626 655 771 447 562 264 114 231 372 715 622 550 505 492 632 372 544 787 
6 239 154 118 467 267 0 136 244 384 154 135 195 255 295 289 405 404 354 259 450 523 359 474 533 544 484 532 489 662 528 654 611 672 714 817 180 295 324 276 393 105 728 444 437 238 225 365 105 603 609 
7 375 290 254 331 131 136 0 108 248 290 271 331 391 431 273 541 540 490 395 314 388 461 610 669 680 620 668 591 796 565 691 611 550 579 695 316 431 188 140 257 241 639 546 474 374 361 501 241 468 711 
8 483 398 362 384 184 244 108 0 140 300 379 439 499 539 165 590 490 440 345 206 280 353 518 680 630 570 564 483 688 457 583 503 442 471 587 424 539 80 248 365 349 531 438 366 482 469 609 349 360 603 
9 578 493 502 414 214 384 248 140 0 352 516 507 567 607 217 642 542 492 397 258 332 405 570 732 682 622 616 535 740 509 635 555 494 523 639 561 607 132 328 445 456 583 490 418 622 537 677 401 412 655 
10 393 308 272 621 421 154 290 300 352 0 164 155 215 255 135 350 250 200 105 346 369 205 320 440 390 330 378 335 508 374 500 457 518 560 663 209 255 220 430 547 104 574 290 283 338 185 325 49 449 455 
11 315 230 120 586 402 135 271 379 516 164 0 120 180 220 299 330 390 340 269 510 533 369 460 458 530 470 518 499 648 538 664 621 682 724 827 45 220 384 395 512 60 738 454 447 174 150 290 213 613 619 
12 434 349 240 662 462 195 331 439 507 155 120 0 60 100 290 210 270 220 260 497 514 350 340 338 410 350 398 465 528 519 645 602 663 705 808 135 100 375 471 588 90 719 420 428 264 30 170 204 594 585 
13 494 409 300 722 522 255 391 499 567 215 180 60 0 40 350 150 250 245 320 522 539 375 320 278 381 330 378 445 508 544 650 627 688 730 833 135 125 435 531 648 150 744 400 453 264 30 110 264 619 565 
14 534 449 340 762 562 295 431 539 607 255 220 100 40 0 390 110 210 205 300 482 499 335 280 238 341 290 338 405 468 504 610 587 648 690 793 175 85 475 571 688 190 704 360 413 304 70 70 304 579 525 
15 528 443 407 549 349 289 273 165 217 135 299 290 350 390 0 425 325 275 180 211 285 280 395 515 465 405 453 410 583 449 575 508 447 476 592 344 390 85 413 530 239 536 365 358 473 320 460 184 365 530 
16 644 559 450 872 672 405 541 590 642 350 330 210 150 110 425 0 100 150 245 427 408 280 170 128 231 180 228 295 358 395 500 478 539 599 684 285 195 510 681 798 300 595 250 322 414 180 180 399 488 415 
17 643 558 510 871 671 404 540 490 542 250 390 270 250 210 325 100 0 50 145 327 308 180 70 190 140 80 128 195 258 295 400 378 439 499 584 385 170 410 680 797 354 495 150 222 514 280 280 299 388 315 
18 593 508 460 821 621 354 490 440 492 200 340 220 245 205 275 150 50 0 95 277 294 130 120 240 190 130 178 245 308 299 425 382 443 485 588 355 120 360 630 747 304 499 200 208 484 250 275 249 374 365 
19 498 413 377 726 526 259 395 345 397 105 269 260 320 300 180 245 145 95 0 247 264 100 215 335 285 225 273 230 403 269 395 352 413 455 558 314 215 265 535 652 209 469 185 178 443 290 370 154 344 350 
20 689 604 568 590 390 450 314 206 258 346 510 497 522 482 211 427 327 277 247 0 74 147 312 492 442 382 358 277 482 251 377 297 236 265 381 555 397 126 454 571 450 325 232 160 684 527 552 395 154 397 
